CategoryID|Category
0|category
1|retargeting
2|santehnika
3|Инструменты
4|Отсуствует
5|santehnika-Baxi-gazovye-kotly
6|santehnika-elektricheskie-kotly
7|santehnika-gazovye-kotly
8|santehnika-krany
9|santehnika-nasosy
10|santehnika-truby
11|ИС-радиаторы
12|Ценомания
13|Системы видеонаблюдения
14|sistemy-videonabljudenija-all
15|sistemy-videonabljudenija-top
16|Ремаркетинг
17|ИС-отопление и климат
18|retargeting-sistemy-videonabljudenija
19|Низковольтное оборудование
20|Светотехнические изделия
21|Уст изд. общего назначения
22|Спец.одежда и СИЗ
23|sistemy-videonabljudenija-article
24|odezhda
25|podshipnik
26|svetotehnika
27|instrument
28|izdelija
29|kabel
30|brand
31|vacancy
32|vodosnabzhenie
33|ИС-насосы
34|ИС-трубопроводные системы
35|epk-instrument
36|epk-izdelija
37|epk-kabel
38|epk-odezhda
39|epk-svetotehnika
40|epk-vodosnabzhenie
41|Автоматизация и КИП
42|Источники питания
43|Кабели провода
44|Системы безопасности
45|Телекоммуникационное оборудование и СКС
46|specodezhda-i-siz
47|network-ret
48|search-ret
49|Оборудование 6-10кв
50|Щитовое оборудование
51|aght
52|ИС-вентиляция
53|videocamera
54|vodoprovodnye-sistemy
55|SOFT
56|all
57|ИС-кондиционеры
58|general
59|ИС-котлы
60|ИС-обогрев
61|instrumenty-electroinstrument
62|instrumenty-garden-tools
63|instrumenty-pnevmatika
64|instrumenty-svarka
65|forum
