"СountryID"|"RegionID"|"RegionName"
0|"0"|"Земля Вена"
1|"1"|"Апшеронский район"
1|"2"|"Неизвестно"
2|"3"|"Неизвестно"
2|"4"|"Область Котайк"
2|"5"|"Область Ширак"
3|"6"|"Область Раджшахи"
4|"7"|"Брестская область"
4|"8"|"Витебская область"
4|"9"|"Гомельская область"
4|"10"|"Гродненская область"
4|"11"|"Минская область"
4|"12"|"Могилёвская область"
5|"13"|"Неизвестно"
6|"14"|"Штат Рио-де-Жанейро"
7|"15"|"Неизвестно"
8|"16"|"Пешт"
9|"17"|"Гессен"
9|"18"|"Неизвестно"
9|"19"|"Свободное государство Бавария"
10|"20"|"Автономная Республика Аджария"
10|"21"|"Имеретия"
10|"22"|"Неизвестно"
11|"23"|"Неизвестно"
12|"24"|"Тель-Авивский АО"
12|"25"|"Центральный АО"
13|"26"|"Махараштра"
14|"27"|"Акмолинская область"
14|"28"|"Актюбинская область"
14|"29"|"Алматинская область"
14|"30"|"Атырауская область"
14|"31"|"Восточно-Казахстанская область"
14|"32"|"Жамбылская область"
14|"33"|"Западно-Казахстанская область"
14|"34"|"Карагандинская область"
14|"35"|"Костанайская область"
14|"36"|"Мангистауская область"
14|"37"|"Павлодарская область"
14|"38"|"Северо-Казахстанская область"
14|"39"|"Туркестанская область"
15|"40"|"Неизвестно"
16|"41"|"Неизвестно"
17|"42"|"Вильнюсский уезд"
17|"43"|"Каунасский уезд"
18|"44"|"Левобережье Днестра"
19|"45"|"Донецкая область"
19|"46"|"Запорожская область"
19|"47"|"Луганская область"
19|"48"|"Неизвестно"
20|"49"|"Провинция Утрехт"
20|"50"|"Северная Голландия"
20|"51"|"Южная Голландия"
21|"52"|"Фюльке Осло"
22|"53"|"Эмират Абу-Даби"
22|"54"|"Эмират Шарджа"
23|"55"|"Великопольское воеводство"
23|"56"|"Мазовецкое воеводство"
23|"57"|"Нижнесилезское воеводство"
23|"58"|"Подляшское воеводство"
23|"59"|"Силезское воеводство"
24|"60"|"Алтайский край"
24|"61"|"Амурская область"
24|"62"|"Архангельская область"
24|"63"|"Астраханская область"
24|"64"|"Белгородская область"
24|"65"|"Брянская область"
24|"66"|"Владимирская область"
24|"67"|"Волгоградская область"
24|"68"|"Вологодская область"
24|"69"|"Воронежская область"
24|"70"|"Еврейская автономная область"
24|"71"|"Забайкальский край"
24|"72"|"Ивановская область"
24|"73"|"Иркутская область"
24|"74"|"Кабардино-Балкарская Республика"
24|"75"|"Калининградская область"
24|"76"|"Калужская область"
24|"77"|"Камчатский край"
24|"78"|"Карачаево-Черкесская Республика"
24|"79"|"Кемеровская область (Кузбасс)"
24|"80"|"Кировская область"
24|"81"|"Костромская область"
24|"82"|"Краснодарский край"
24|"83"|"Красноярский край"
24|"84"|"Курганская область"
24|"85"|"Курская область"
24|"86"|"Липецкая область"
24|"87"|"Магаданская область"
24|"88"|"Москва и Московская область"
24|"89"|"Мурманская область"
24|"90"|"Ненецкий автономный округ"
24|"91"|"Нижегородская область"
24|"92"|"Новгородская область"
24|"93"|"Новосибирская область"
24|"94"|"Омская область"
24|"95"|"Оренбургская область"
24|"96"|"Орловская область"
24|"97"|"Пензенская область"
24|"98"|"Пермский край"
24|"99"|"Приморский край"
24|"100"|"Псковская область"
24|"101"|"Республика Адыгея"
24|"102"|"Республика Алтай"
24|"103"|"Республика Башкортостан"
24|"104"|"Республика Бурятия"
24|"105"|"Республика Дагестан"
24|"106"|"Республика Ингушетия"
24|"107"|"Республика Калмыкия"
24|"108"|"Республика Карелия"
24|"109"|"Республика Коми"
24|"110"|"Республика Крым"
24|"111"|"Республика Марий Эл"
24|"112"|"Республика Мордовия"
24|"113"|"Республика Саха (Якутия)"
24|"114"|"Республика Северная Осетия — Алания"
24|"115"|"Республика Татарстан"
24|"116"|"Республика Тыва"
24|"117"|"Республика Хакасия"
24|"118"|"Ростовская область"
24|"119"|"Рязанская область"
24|"120"|"Самарская область"
24|"121"|"Санкт-Петербург и Ленинградская область"
24|"122"|"Саратовская область"
24|"123"|"Сахалинская область"
24|"124"|"Свердловская область"
24|"125"|"Смоленская область"
24|"126"|"Ставропольский край"
24|"127"|"Тамбовская область"
24|"128"|"Тверская область"
24|"129"|"Томская область"
24|"130"|"Тульская область"
24|"131"|"Тюменская область"
24|"132"|"Удмуртская Республика"
24|"133"|"Ульяновская область"
24|"134"|"Хабаровский край"
24|"135"|"Ханты-Мансийский автономный округ - Югра"
24|"136"|"Челябинская область"
24|"137"|"Чеченская Республика"
24|"138"|"Чувашская Республика"
24|"139"|"Чукотский автономный округ"
24|"140"|"Ямало-Ненецкий автономный округ"
24|"141"|"Ярославская область"
25|"142"|"Округ Колумбия"
25|"143"|"Штат Айова"
25|"144"|"Штат Вашингтон"
25|"145"|"Штат Вирджиния"
25|"146"|"Штат Делавэр"
25|"147"|"Штат Джорджия"
25|"148"|"Штат Иллинойс"
25|"149"|"Штат Калифорния"
25|"150"|"Штат Миннесота"
25|"151"|"Штат Мэриленд"
25|"152"|"Штат Невада"
25|"153"|"Штат Нью-Джерси"
25|"154"|"Штат Нью-Йорк"
25|"155"|"Штат Огайо"
25|"156"|"Штат Северная Каролина"
25|"157"|"Штат Техас"
25|"158"|"Штат Флорида"
26|"159"|"Округ Белград"
26|"160"|"Северно-Бачский округ"
26|"161"|"Средне-Банатский округ"
26|"162"|"Южно-Бачский округ"
27|"163"|"Неизвестно"
28|"164"|"Неизвестно"
29|"165"|"Провинция Измир"
29|"166"|"Провинция Стамбул"
30|"167"|"Неизвестно"
31|"168"|"Закарпатская область"
31|"169"|"Ивано-Франковская область"
31|"170"|"Киевская область"
31|"171"|"Кировоградская область"
31|"172"|"Львовская область"
31|"173"|"Николаевская область"
31|"174"|"Одесская область"
32|"175"|"Уусимаа"
33|"176"|"Неизвестно"
34|"177"|"Загребская жупания"
35|"178"|"Община Будва"
35|"179"|"Община Подгорица"
35|"180"|"Община Тиват"
35|"181"|"Община Херцег-Нови"
36|"182"|"Кантон Женева"
37|"183"|"Лен Вестра-Гёталанд"
37|"184"|"Лен Стокгольм"
38|"185"|"Харьюмаа"
39|"186"|"Префектура Токио"
2|"187"|"Область Гехаркуник"
12|"188"|"Хайфский АО"
14|"189"|"Кызылординская область"
23|"190"|"Малопольское воеводство"
25|"191"|"Штат Миссури"
30|"192"|"Андижанская область"
30|"193"|"Наманганская область"
30|"194"|"Хорезмская область"
31|"195"|"Тернопольская область"
31|"196"|"Харьковская область"
33|"197"|"Нор"
36|"198"|"Кантон Цюрих"
40|"199"|"Городская область София"
41|"200"|"Ломбардия"
42|"201"|"Провинция Онтарио"
9|"202"|"Бранденбург"
13|"203"|"Карнатака"
13|"204"|"Харьяна"
14|"205"|"Неизвестно"
14|"206"|"Область Абай"
22|"207"|"Эмират Дубай"
23|"208"|"Варминско-Мазурское воеводство"
25|"209"|"Штат Луизиана"
26|"210"|"Шумадийский округ"
30|"211"|"Самаркандская область"
31|"212"|"Полтавская область"
32|"213"|"Похьойс-Похьянмаа"
37|"214"|"Лен Норрботтен"
43|"215"|"Неизвестно"
44|"216"|"Южноморавский край"
45|"217"|"Неизвестно"
2|"218"|"Область Лори"
7|"219"|"Графство Большой Манчестер"
7|"220"|"Графство Оксфордшир"
8|"221"|"Боршод-Абауй-Земплен"
9|"222"|"Северный Рейн-Вестфалия"
13|"223"|"Неизвестно"
17|"224"|"Шяуляйский уезд"
23|"225"|"Подкарпатское воеводство"
23|"226"|"Поморское воеводство"
25|"227"|"Штат Аризона"
25|"228"|"Штат Южная Каролина"
28|"229"|"Согдийская область"
30|"230"|"Ферганская область"
31|"231"|"Винницкая область"
31|"232"|"Житомирская область"
31|"233"|"Ровенская область"
31|"234"|"Хмельницкая область"
34|"235"|"Сисацко-Мославинская жупания"
40|"236"|"Пловдивская область"
40|"237"|"Хасковская область"
43|"238"|"Гореньский регион"
44|"239"|"Неизвестно"
46|"240"|"Неизвестно"
47|"241"|"Провинция Мадрид"
2|"242"|"Область Арагацотн"
7|"243"|"Графство Стаффордшир"
14|"244"|"Область Жетысу"
17|"245"|"Утенский уезд"
20|"246"|"Северный Брабант"
23|"247"|"Лодзинское воеводство"
25|"248"|"Штат Пенсильвания"
30|"249"|"Бухарская область"
31|"250"|"Волынская область"
31|"251"|"Днепропетровская область"
40|"252"|"Бургасская область"
41|"253"|"Сардиния"
48|"254"|"Аттика"
49|"255"|"Гонконг (Сянган)"
7|"256"|"Графство Норфолк"
9|"257"|"Баден-Вюртемберг"
12|"258"|"Иерусалимский АО"
14|"259"|"Область Улытау"
29|"260"|"Провинция Анкара"
29|"261"|"Провинция Анталья"
30|"262"|"Джизакская область"
35|"263"|"Община Бар"
35|"264"|"Община Котор"
40|"265"|"Пазарджикская область"
50|"266"|"Область Тирана"
51|"267"|"Район Лимассол"
52|"268"|"Провинция Сарабури"
53|"269"|"Неизвестно"
2|"270"|"Область Армавир"
7|"271"|"Область Абердин"
8|"272"|"Сабольч-Сатмар-Берег"
15|"273"|"Иссык-Кульская область"
16|"274"|"Талсинский край"
23|"275"|"Свентокшиское воеводство"
25|"276"|"Штат Массачусетс"
26|"277"|"Мачванский округ"
29|"278"|"Провинция Бурса"
30|"279"|"Навоийская область"
42|"280"|"Провинция Квебек"
52|"281"|"Неизвестно"
52|"282"|"Провинция Нан"
54|"283"|"Братиславский край"
55|"284"|"Неизвестно"
7|"285"|"Графство Уэст-Мидлендс"
17|"286"|"Клайпедский уезд"
47|"287"|"Астурия"
51|"288"|"Район Никосия"
56|"289"|"Неизвестно"
10|"290"|"Самцхе-Джавахети"
23|"291"|"Куявско-Поморское воеводство"
40|"292"|"Благоевградская область"
57|"293"|"Виктория"
58|"294"|"Округ Люксембург"
59|"295"|"Неизвестно"
2|"296"|"Область Сюник"
7|"297"|"Графство Бедфордшир"
