КодКлиента|Цена|ЦенаДоСкидки|ДРегСкидка|ДДнСкидки
81118462|432||||
52661|98||||
140007310|436||||
190002119|435||||
77808|482||||
90001518|432||||
300000598|432||||
61640|482||||
52661|98||||
87236284|436||||
130017932|361||||
100098665|482||||
100102489|391||||
87164303|366||||
60856391|366||||
1428181|482||||
1431917|391||||
87214593|360||||
690025907|482||||
130015001|431||||
36154915|368||||
690000984|365||||
202|451||||
202|451||||
87164779|365||||
87164779|365||||
1435815|535||||
100112470|482||||
410002673|364||||
1437986|482||||
1438474|361||||
36134689|361||||
470080978|391||||
740001279|361||||
36143027|361||||
140007007|362||||
690024734|368||||
87189750|98||||
60092656|482||||
36146987|391||||
70013461|368||||
70013461|368||||
1445669|368||||
36177720|361||||
1451388|534||||
690006909|365||||
36111951|361||||
60080014|482||||
100119412|482||||
690039468|361||||
140062068|482||||
321001002|482||||
321001494|361||||
36128805|361||||
1392718|482||||
140024713|482||||
690001056|361||||
140013292|361||||
1430556|366||||
1470816|366||||
1473858|482||||
1474188|361||||
60075401|535||||
30008532|482||||
690022392|361||||
100113730|482||||
1478991|390||||
920000010|362||||
767778376|361||||
36121883|361||||
180008637|366||||
60077702|364||||
60077284|391||||
66671079|361||||
690022521|98||||
470000844|482||||
36102349|364||||
36187373|366||||
36179520|362||||
180005941|361||||
180005941|361||||
36111365|362||||
118064|431||||
60072009|432||||
69901236|432||||
1496318|482||||
22223289|560||||
1391082|361||||
100135688|482||||
36157670|361||||
1439813|362||||
60228914|391||||
180006819|361||||
1507608|482||||
100138644|482||||
1130528|361||||
22466133|482||||
60012554|482||||
36124825|452||||
470065027|361||||
1438474|361||||
7321|365||||
140013292|361||||
1435218|366||||
1149150|361||||
1240878|451||||
22231262|362||||
87216114|391||||
120000018|362||||
36197403|366||||
36148025|366||||
690022326|361||||
690049069|361||||
60068934|362||||
60068934|362||||
60068934|362||||
58353|98||||
690052281|361||||
36179526|360||||
470077820|482||||
1130528|361||||
51930|364||||
51930|364||||
1484944|366||||
90001330|362||||
30004951|368||||
30004951|368||||
100147135|482||||
660001814|444||||
660001814|360||||
60158787|368||||
60026508|361||||
260003256|368||||
36133449|361||||
240000325|362||||
53053|442||||
53053|362||||
53053|362||||
470068075|360||||
140090354|361||||
690024758|366||||
60031617|362||||
1540488|482||||
890002625|362||||
1463055|361||||
100107203|451||||
87192995|362||||
130001445|362||||
60027895|366||||
36147188|366||||
36177132|361||||
60020237|361||||
140096873|451||||
690039398|364||||
87263602|98||||
130005137|482||||
1517249|361||||
340000461|431||||
87190358|362||||
36132493|364||||
690015420|361||||
690009477|364||||
690009477|361||||
70016882|368||||
36123549|361||||
36198206|361||||
36168142|361||||
60005269|366||||
87176311|361||||
60000555|482||||
300000249|361||||
60195403|361||||
1368291|482||||
22237713|361||||
36113209|361||||
1510476|368||||
36139653|361||||
1556008|391||||
690007021|366||||
1499842|482||||
140021007|366||||
690035610|366||||
8064|365||||
690007437|361||||
60132762|434||||
690051629|366||||
690043737|482||||
690039982|366||||
52665|436||||
340000549|362||||
22239456|458||||
202|451||||
202|451||||
36174345|362||||
140014975|364||||
140011435|361||||
140015826|361||||
61229397|361||||
60058245|366||||
60098426|366||||
660001531|361||||
36205870|361||||
340001982|366||||
10000306|361||||
60157602|361||||
470005797|482||||
126856|361||||
1570907|391||||
36114171|362||||
690003779|361||||
36185933|365||||
140009135|361||||
690028369|456||||
60130538|368||||
60082686|438||||
260003552|365||||
36150497|98||||
36145469|435||||
1563304|366||||
1575550|482||||
690012333|361||||
36132493|364||||
130008613|361||||
1199519|98||||
750000702|360||||
750000702|360||||
87204064|482||||
1528364|361||||
90000828|362||||
30012363|366||||
690015295|366||||
360001836|362||||
60041176|482||||
1583014|361||||
100163067|391||||
80000595|431||||
120000186|364||||
87231296|361||||
880003515|362||||
62232634|362||||
140059021|361||||
60082000|366||||
244445873|361||||
244445873|451||||
60185831|361||||
87192565|362||||
30008647|482||||
54018|362||||
87207512|446||||
87207512|446||||
87207512|446||||
130006497|482||||
1130156|482||||
70015952|435||||
640000172|361||||
1601442|482||||
87196210|482||||
87224303|451||||
750000177|362||||
36161279|361||||
22238997|364||||
22238997|364||||
1606958|482||||
1462176|451||||
1409036|366||||
767777850|361||||
1146208|431||||
87261791|482||||
690020629|366||||
36197840|361||||
1467841|366||||
36133151|361||||
69799530|391||||
100022664|482||||
22449455|482||||
36138863|361||||
330000201|482||||
6137|362||||
1512430|451||||
330001073|560||||
160002068|482||||
60171593|366||||
140021976|434||||
140077714|361||||
36113479|360||||
130019108|368||||
470043106|365||||
130008613|361||||
60039479|365||||
1599496|368||||
760000550|434||||
1540025|451||||
60044604|482||||
140016794|361||||
60048663|366||||
60104693|482||||
1610921|360||||
1517684|482||||
87181224|535||||
840001539|434||||
60136165|455||||
36104757|482||||
600000695|361||||
140043672|454||||
1388104|436||||
102|364||||
60857304|365||||
36174310|361||||
140033809|456||||
140087097|361||||
880002566|361||||
1542968|361||||
60048509|362||||
130007558|361||||
130007558|361||||
36193205|482||||
140043663|456||||
60022594|361||||
140085886|361||||
1454474|361||||
140000589|364||||
140072797|361||||
140044254|361||||
60093980|456||||
690001312|366||||
60124121|361||||
130017271|361||||
130017271|361||||
880002687|435||||
36173838|366||||
150600303|535||||
680000544|368||||
140097276|366||||
1451508|361||||
60092799|362||||
60077917|534||||
680000067|393||||
690003880|365||||
36207407|361||||
340002674|366||||
330015246|482||||
60026854|366||||
60037388|456||||
140055769|361||||
60001774|364||||
60117554|361||||
260002302|368||||
160016133|482||||
1576228|368||||
140017502|361||||
60567008|364||||
690002238|366||||
60184147|391||||
730000342|482||||
140027408|366||||
140080653|361||||
60128011|431||||
60074140|361||||
1382868|361||||
140015826|361||||
130006975|361||||
36193227|390||||
100018060|362||||
140040758|368||||
1536067|482||||
330020530|368||||
36127404|361||||
30003838|361||||
180006002|361||||
180009326|482||||
690009711|480||||
60013943|366||||
160020726|482||||
1542293|482||||
140096873|451||||
690015221|361||||
330023731|482||||
30010020|361||||
30010020|361||||
87161804|482||||
690007819|366||||
1541375|451||||
87203167|366||||
330025153|391||||
1485780|431||||
140027220|454||||
36158483|362||||
60136165|455||||
30006699|361||||
140090319|361||||
690001145|362||||
140033872|432||||
66677853|482||||
740001059|362||||
87232244|365||||
330018308|482||||
140085978|366||||
1459663|451||||
87171968|361||||
920000010|452||||
36108186|362||||
140018329|361||||
330028940|482||||
140027577|366||||
140012626|482||||
690000107|437||||
36121015|366||||
36121565|362||||
36119865|366||||
60095617|361||||
36103906|365||||
1454379|360||||
36192167|361||||
40003863|432||||
1499758|482||||
140027408|366||||
1503894|361||||
400000801|361||||
180008595|361||||
330009482|482||||
330019121|368||||
140055383|365||||
1454379|360||||
70011795|361||||
202|390||||
140026896|361||||
690028814|366||||
690012717|361||||
30003838|361||||
36147188|366||||
260007699|454||||
330038562|482||||
1513675|361||||
36102880|366||||
160031191|366||||
1524023|454||||
