IDprocess|Date|Mark|Clicode|Reason1|Reason1More
2509508|2023-06-06 12:42:11|5|55107610|Работа персонала ЭТМ|Заменить закрепленного менеджера
2510758|2023-06-06 15:55:13|3|78096|Работа персонала ЭТМ|Заменить закрепленного менеджера
2510825|2023-06-06 16:12:43|1|440115040|Корректность документооборота|Некорректное оформление документов
2511359|2023-06-06 20:03:30|5|100229824|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2511712|2023-06-07 08:38:00|5|90102997|Организация сервиса при доставке|Срыв сроков доставки
2511878|2023-06-07 09:04:26|5|78096|Корректность документооборота|Некорректное оформление документов
2512087|2023-06-07 09:34:52|3|440156419|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2512723|2023-06-07 11:17:52|5|190015159|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2512898|2023-06-07 11:47:28|5|87183099|Комплектация заказа|Пересорт, некомплект
2513055|2023-06-07 12:14:42|5|55016254|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2516429|2023-06-08 15:10:19|1|330117168|Комплектация заказа|Возврат/брак
2517198|2023-06-09 07:36:19|5|1608338|Организация сервиса при самовывозе|Скорость обслуживания
2517700|2023-06-09 10:03:22|2|140040383|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2517827|2023-06-09 10:37:07|1|440171922|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2518081|2023-06-09 11:24:18|3|1372002|Работа персонала ЭТМ|Заменить закрепленного менеджера
2518105|2023-06-09 11:28:33|5|90050690|Комплектация заказа|Пересорт, некомплект
2518181|2023-06-09 11:48:58|1|90048679|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2518427|2023-06-09 12:52:34|1|140007766|Организация сервиса при доставке|Грубость персонала при доставке (сотрудник ЭТМ, водитель)
2518562|2023-06-09 13:27:59|5|440115040|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2518589|2023-06-09 13:35:06|5|1429366|Комплектация заказа|Пересорт, некомплект
2518645|2023-06-09 13:41:14|5|250000175|Комплектация заказа|Пересорт, некомплект
2518657|2023-06-09 13:42:52|1|330319621|Комплектация заказа|Пересорт, некомплект
2519085|2023-06-09 15:43:25|1|160072241|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2519275|2023-06-09 17:38:30|1|100159731|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2519524|2023-06-10 13:49:24|5|90013332|Организация сервиса при самовывозе|Скорость обслуживания
