created_in_catalog,id,rating,company_id,company_name,company_code,region,city,street,housenumber,answer_response_time
2024-10-22,375066034,5.0,1235453,ЭТМ,19,Москва,Москва,Балаклавский проспект,28Б ст1,1728.128367
2024-10-22,375066030,5.0,1235471,ЭТМ,37,Санкт-Петербург,посёлок Шушары,Ленсоветовская дорога,12к2Б,63781.019708
2024-10-22,375066031,4.0,1235471,ЭТМ,37,Санкт-Петербург,посёлок Шушары,Ленсоветовская дорога,12к2Б,
2024-10-22,375066052,5.0,1099018,ЭТМ,ETM4260,Санкт-Петербург,Санкт-Петербург,Ленсовета,90,1640.491975
2024-10-22,375066035,5.0,1099096,ЭТМ,ETM91100,Татарстан,Набережные Челны,Низаметдинова,2,64240.156571
2024-10-22,374992395,5.0,1099106,ЭТМ,ETM158100,Московская область,Сергиев Посад,Новоугличское шоссе,74В,5443.076263
2024-10-22,375066033,5.0,1235444,ЭТМ,9,Калужская область,Калуга,Сельский переулок,2А,1447.078706
2024-10-22,374992394,5.0,1099147,ЭТМ,ETM28100,Вологодская область,Череповец,Гоголя,45,4841.345297
2024-10-22,375087466,5.0,2649738,ЭТМ,ETM15110.1,Нижегородская область,Нижний Новгород,улица Ларина,28,55088.902388
2024-10-22,374992343,5.0,1474948,ЭТМ,,Чувашия,Чебоксары,проспект Ивана Яковлева,15Б,4652.901164
2024-10-22,375066032,5.0,1235455,ЭТМ,21,Московская область,Мытищи,улица Хлебозаводская,4Ас1,1552.411375
2024-10-22,375066036,1.0,1099116,ЭТМ,ETM21130,Татарстан,посёлок Новониколаевский,Искры,20,61658.869532
2024-10-22,374882997,5.0,1099038,ЭТМ,ETM19120,Пермский край,Пермь,Трамвайная улица,33к6,57108.330314
2024-10-22,374831014,5.0,1099044,ЭТМ,ETM82100,Архангельская область,Архангельск,Карла Либкнехта,36,
2024-10-22,374764345,5.0,1474948,ЭТМ,,Чувашия,Чебоксары,проспект Ивана Яковлева,15Б,
2024-10-22,374747706,5.0,1099138,ЭТМ,ETM74100,Томская область,Томск,Смирнова,5,64353.230351
2024-10-22,374492935,5.0,1099096,ЭТМ,ETM91100,Татарстан,Набережные Челны,Низаметдинова,2,6023.040015
2024-10-22,374960016,5.0,1099122,ЭТМ,ETM70100,Новосибирская область,Новосибирск,Пашинское шоссе,1 к1,2677.20573
2024-10-22,374400437,5.0,1099062,ЭТМ,ETM71110,Омская область,Омск,улица 10 лет Октября,50,657.469253
2024-10-22,374960017,5.0,1099087,ЭТМ,ETM76100,Кемеровская область,Кемерово,Юрия Двужильного,5,2754.797335
2024-10-22,374339044,5.0,1099040,ЭТМ,ETM24121,Самарская область,посёлок городского типа Стройкерамика,Пожарный проезд,1,1718.542171
